"","struct.summ.site_unique","struct.summ.site_location_name","struct.summ.site_location_visit_id","struct.summ.phenology_comment","struct.summ.upper_1_dominant","struct.summ.upper_2_dominant","struct.summ.upper_3_dominant","struct.summ.mid_1_dominant","struct.summ.mid_2_dominant","struct.summ.mid_3_dominant","struct.summ.ground_1_dominant","struct.summ.ground_2_dominant","struct.summ.ground_3_dominant","struct.summ.description","struct.summ.mass_flowering_event"
"208","NSABHC0016-57105","NSABHC0016",57105,"NC","-1","-1","-1","AUG000328","NSABHC06192","None","NSABHC06142","NSABHC06182","NSABHC06174","Maireana turbinata/ Maireana astrotricha/ Sclerolaena spp. low sparse chenopod shrubland with a sparse ground story dominated by Sida intricata.",FALSE
"209","NSAMDD0029-57088","NSAMDD0029",57088,"NC",NA,NA,NA,"NSA013041","NSA012965","NSA012975","NSA013001","NSA013013","NSA013061","Dodonaea viscosa subsp. angustissima shrubland (1-3m) with Eremophila spp. and Acacia victoriae. Ground layer dominated by Atriplex stipitata, Chenopodium desertorum and Enneapogon intermedius.",FALSE
"210","NTAFIN0025-53645","NTAFIN0025",53645,"","","","","NTA 001068","NTA 001068","","NTA 001066","NTA 001064","NTA 001078","Eremophila freelingii / Senna artemisioides subsp. alicia X low open shrubland with scattered emergent Acacia aneura and a tussock grass understratum dominated by Aristida contorta, Enneapogon avenaceus and Aristida holathera.",FALSE
"211","SAARIV0007-57096","SAARIV0007",57096,"NC","SAA005418","SAA005427","None","SAA005421","None","None","SAA005413","SAA005423","None","Eucalyptus largiflorens low woodland with Eucalyptus camaldulensis along south western edge.  Dense mid stratum of Duma florulenta. Ground stratum dominated by Enchylaena tomentosa with Atriplex stipitata. Duma and Eucalyptus forming alternating bands through the site.",FALSE
"212","SAARIV0007-58054","SAARIV0007",58054,"NC","SAA005909","None","None","SAA005907","None","None","SAA005914","SAA005912","-1","Eucalyptus largiflorens low woodland with Eucalyptus camaldulensis along south western edge. Dense mid stratum of Duma florulenta. Ground stratum dominated by Enchylaena tomentosa with Atriplex semibaccata. Duma and Eucalyptus forming alternating bands through the site.

 ",FALSE
"213","WAAPIL0007-57602","WAAPIL0007",57602,"NC","-1","-1","-1","WAA008477","WAA008489","None","WAA008399","WAA008431","WAA008495","Grevillea wickhamii / Acacia trachycarpa  tall open shrubland with a dense ground stratum of Triodia pungens , Triodia sp and Eulalia aurea.",FALSE
"214","WAAPIL0032-58416","WAAPIL0032",58416,"NC","None","None","None","WAA011446","WAA011506","None","WAA011494","WAA011716","WAA011443","Acacia incurvaneura mid sparse shrubland to low open woodland with scattered Eremophila caespitosa, Eremophila forrestii subsp. forrestii and other  shrubs.  Ground-stratum is a low sparse hummock grassland with pockets of Triodia melvillii, Fimbristylis dichotoma and Aristida contorta.",FALSE
"215","WAANUL0003-56946","WAANUL0003",56946,"","WAA  004132","WAA  004120","","WAA  004126","WAA  004064","","WAA  004148","WAA  004074","WAA  004106","Acacia aneura / Acacia papyrocarpa mixed low open woodland to 7m with a mid-stratum of Senna artemisioides subsp. petiolaris, some juvenile Acacia aneura to 2m and Maireana sedifolia to 80cm. Ground stratum of Sclerolaena diacantha, Ptilotus obovatus and Maireana trichoptera.",NA
"216","SAARIV0008-57097","SAARIV0008",57097,"NC","SAA005435","None","None","SAA005428","None","None","SAA005433","SAA005434","SAA005431","Eucalyptus largiflorens low open woodland. A mid-stratum dominated by Duma florulenta. Group stratum sparse but dominated by Enchylaena tomentosa var. tomentosa, Einadia nutans and Atriplex stipitata",FALSE
"217","SAARIV0008-58056","SAARIV0008",58056,"NC","SAA005925","None","None","SAA005920","None","None","SAA005918","SAA005921","SAA005924","Eucalyptus largiflorens low open woodland. A mid-stratum dominated by Duma florulenta. Group stratum sparse but dominated by Enchylaena tomentosa var. tomentosa, Einadia nutans and Atriplex stipitata",FALSE
"218","QDACHC0001-53592","QDACHC0001",53592,"Very dry. Grasses all completely dried out. Acacia cambagei have fruited well though now dried. ","QDA 000973","","","QDA 000973","","","","","","Acacia cambagei low woodland with a very sparse tussock grass understratum.",FALSE
"219","SAAGVD0003-56927","SAAGVD0003",56927,"NC",NA,NA,NA,"SAA  003986",NA,NA,"SAA  004084","SAA  004040","SAA  004066","Acacia aneura sparse low shrubland to Eragrostis setifolia, Aristida contorta, Enneapogon spp. tussock grassland.",FALSE
"220","WAAPIL0003-57601","WAAPIL0003",57601,"NC","WAA008089","None","None","None","None","None","WAA008067","WAA008055","None","Eucalyptus leucophloia sparse woodland with a sparse ground stratum of Triodia spp. and forbs.  ",FALSE
"221","SAAGAW0002-56993","SAAGAW0002",56993,"NC","SAA  004670","SAA  004664","SAA  004660","SAA  004698","SAA  004692","SAA  004676","SAA  004658","SAA  004708","None","Maireana sedifolia chenopod shrubland (0.2-1m), with Atriplex vesicaria and Maireana pyramidata and scattered emergent shrubs of Alectryon oleifolius subsp. canescens, Acacia papyrocarpa and Eremophila scoparia (1-3m). Ground stratum is sparse, with Sclerolaena obliquicuspis and Mesembryanthemum nodiflorum.",NA
"222","WAAPIL0010-57607","WAAPIL0010",57607,"NC","WAA008861","WAA008871","None","WAA008861","WAA008841","None","WAA008773","WAA008867","None","Acacia aneura / Corymbia hamersleyana low woodland with a mid-stratum of scattered shrubs- Senna artemisioides subsp. oligophylla & Senna glutinosa and a ground stratum of Triodia pungens / Triodia sp.",FALSE
"223","WAAPIL0008-57605","WAAPIL0008",57605,"NC","-1","-1","-1","-1","-1","-1","WAA008541","WAA008523","WAA008531","Aristida latifolia / Chloris sp. tussock grassland to Streptoglossa odora forbland with a few emergent Vachellia farnesiana.",FALSE
"224","QDACYP0020-58615","QDACYP0020",58615,"NC","QDA013949","QDA013905","QDA013963","QDA022283","QDA022135","QDA013981","QDA013941","QDA013989","QDA013997","Mixed Neofabricia myrtifolia woodland with Acacia crassicarpa and Asteromyrtus symphyocarpa in the upper story. Midstory of Leucopogon yorkensis, Thryptomene oligandra, Baeckea frutescens and smaller Melaleuca viridiflora. Groundstorey sparse but dominated by Dapsilanthus ramosus, Hibbertia banksii, Lomandra banksii and Eriachne pallescens.
",FALSE
"225","NSAMDD0009-56971","NSAMDD0009",56971,"NC","NSA 010735","NSA 010747",NA,"NSA 010799","NSA 010771","NSA 010723",NA,NA,NA,"Casuarina pauper woodland (6-10m) with Alectryon oleifolius subsp. canescens and a mid stratum of Maireana sedifolia and Eremophila sturtii (0.6-3m). Ground stratum is very sparse and mostly bare.",FALSE
"226","NSAMDD0022-56985","NSAMDD0022",56985,"NC","NSA012343","NSA012325","NSA012331","NSA012337","NSA012343","NSA012325","NSA012399","NSA012395","NSA012355","Eucalyptus socialis / Eucalyptus dumosa / Eucalyptus gracilis mid Mallee woodland with emergent Eucalyptus populnea. Mid stratum dominated by Melaleuca sp. with scattered Olearia sp. Acacia colletioides and other shrubs. Ground stratum sparse- scattered Lomandra sp. and tussock grasses.",FALSE
"227","NTAFIN0028-53746","NTAFIN0028",53746,"Atriplex vesicaria has fruited throughout  site but has dropped most of the fruit. Tussock grasses have all dried off.","","","","","","","NTA 004903","NTA 004894","NTA 004861","Atriplex vesicaria low sparse chenopod shrubland with Tripogon loliiformis and Enneapogon avenaceus.",FALSE
"228","NTAGFU0011-53658","NTAGFU0011",53658,"Tussock grasses almost dead. Triodia bitextura has shed seed. Acacia ancistrocarpa is flowering throughout the site. Acacia adoxa and Acacia phlebocarpa are both flowering. Eucalyptus pruinosa has just finished flowering and has buds. Some forbs and annuals but more or less finished","NTA 002174",NA,NA,"NTA 002222","NTA 002186","NTA 002163","NTA 002168","NTA 002250","NTA 002175","Eucalyptus pruinosa mid Mallee woodland with a diverse mid stratum dominated by Terminalia canescens, Acacia ancistrocarpa and Grevillea parallela and a ground stratum dominated by Triodia bitextura with Schizachyrium fragile, Aristida perniciosa and Eriachne obtusa.",FALSE
"229","NTAGFU0034-53681","NTAGFU0034",53681,"Eucalyptus microtheca has fruit.  Tussock grasses dried off. Evolvulus alsinoides still flowering throughout the site.","NTA 003705","","","NTA 003724","NTA 003722","","NTA 003719","NTA 003715","","Eucalyptus microtheca low woodland with a mid-stratum of Acacia holosericea and Melaleuca viridiflora and a sparse ground stratum of Eragrostis stagnalis and Chrysopogon fallax",FALSE
"230","NTAGFU0035-53682","NTAGFU0035",53682,"","NTA 003802","NTA 003752","","NTA 003781","","","NTA 003799","","","Eucalyptus microtheca low woodland with scattered Erythrophleum chlorostachys. A sparse mid stratum of Petalostigma pubescens and a ground stratum of Schizachyrium fragile.",FALSE
"231","NTASSD0015-53565","NTASSD0015",53565,"Eremophila maculata flowering throughout. ","NTA  005642","","","NTA  005598","","","NTA  005616","","","Eucalyptus coolabah low open woodland with a sparse mid stratum dominated by Eremophila macdonnellii and a sparse ground stratum dominated by Pluchea dunlopii.",FALSE
"232","NTAGFU0010-53657","NTAGFU0010",53657,NA,"NTA 002140",NA,NA,NA,NA,NA,"NTA 002136",NA,NA,"Eucalyptus leucophloia mid Mallee woodland with a dense understratum of Triodia pungens.",FALSE
"233","QDAMGD0011-53495","QDAMGD0011",53495,"","","","","","","","QDA  001093","","","Astrebla spp. low open tussock grassland.",FALSE
"234","NSABHC0018-57077","NSABHC0018",57077,"NC","-1","-1","-1","NSA 05859","NSA 05845","-1","NSA 05849","NSA 05861",NA,"Low Chenopod shrubland of Maireana astrotricha and Maireana integra with Tussock grassland of Enneapogon avenaceae and Austrostipa scabra.",FALSE
"235","NTAFIN0022-53642","NTAFIN0022",53642,"","","","","","","","NTA 000916","NTA 000960","","Eremophila freelingii low open shrubland with a tussock grass understratum dominated by Enneapogon polyphyllus and Aristida contorta.",FALSE
"236","WAAGES0004-58804","WAAGES0004",58804,"NC","WAA020521","WAA020555","None","WAA020571","WAA020579","WAA020589","WAA020575","WAA020603","WAA020565","Mixed Eucalyptus oldfieldii and Eucalyptus eudesmioides Mallee woodland. Sparse mid-storey of Lamarchea hakeifolia var. brevifolia, Bursaria occidentalis and Hakea bucculenta. The understorey is also fairly sparse and dominated by Schoenus sp. Murchison, Triodia bromoides and Labichea teretifolia subsp. teretifolia.",FALSE
"237","QDAMII0001-53504","QDAMII0001",53504,"","QDA  004289","","","","","","QDA  004305","","","Eucalyptus pruinosa / Corymbia terminalis low isolated trees with a sparse shrub stratum of Carissa lanceolata, Hakea arborescens and Acacia holosericea. A sparse ground stratum dominated by Cenchrus ciliaris",FALSE
"238","SATFLB0013-58664","SATFLB0013",58664,"NC","SAT005452","None","None","SAT005512","SAT005272","SAT005448","SAT005543","SAT005442","SAT005490","Eucalyptus macrorhyncha low woodland. A relatively sparse mid stratum dominated by Xanthorrhoea quadrangulata with lower mid stratum dominated by Lissanthe strigosa subsp. subulata with Hibbertia exutiacies and Bursaria spinosa subsp. spinosa. A ground stratum dominated tussock grasses, forbs and ferns including Caesia calliantha, Cheilanthes austrotenuifolia and Lomandra densiflora
",TRUE
"239","SATFLB0013-53701","SATFLB0013",53701,"Eucalyptus macrorhyncha finished flowering-has fruit. Forbs-Leptorhynchos squamatus and Wahlenbergia luteola flowering. Xanthorrhoea quadrangulata all finished.","SAT 000722","","","SAT 000721","SAT 000688","SAT 000683","SAT 000672","SAT 000704","SAT 000689","Eucalyptus macrorhyncha low open forest. A mid stratum dominated by Xanthorrhoea quadrangulata with Hibbertia exutiacies and Bursaria spinosa subsp. spinosa. A ground stratum dominated Astroloma conostephioides.",FALSE
"240","WAAPIL0009-57606","WAAPIL0009",57606,"NC","WAA008711","None","None","WAA008653","WAA008737","None","WAA008639","WAA008637","WAA008757","Eucalyptus victrix open woodland with a mid-stratum of Senna artemisioides subsp. oligophylla and Melaleuca sp. and a dense ground stratum dominated by Eriachne benthamii.",FALSE
"241","WAAPIL0011-57608","WAAPIL0011",57608,"NC","None","None","None","WAA009023","WAA008953","None","WAA008933","WAA008965","WAA008973","Acacia xiphophylla shrubland with a mixed understory of Sclerolaena spp. and tussock grasses. Also some scattered Acacia victoriae.",FALSE
"242","NSABHC0023-57099","NSABHC0023",57099,"NC","-1","-1","-1","NSA06967","None","None","NSA07022","None","None","Dodonaea viscosa subsp. angustissima low sparse shrub with a ground stratum dominated by Tetragonia sp.",FALSE
"243","QDAGUP0020-53483","QDAGUP0020",53483,"","","","","","","","QDA  004601","QDA  004615","QDA  004523","Sporobolus virginicus low tussock grassland with patches of Tecticornia indica subsp. indica. ",FALSE
"244","QDAMGD0013-53539","QDAMGD0013",53539,"Astrebla species both green. Aristida latifolia dry. ","","","","","","","QDA  001485","QDA  001515","","Astrebla pectinata, Astrebla elymoides low open tussock grassland.",FALSE
"245","WAAPIL0015-57613","WAAPIL0015",57613,"NC","-1","-1","-1","-1","-1","-1","WAA009570","WAA009554","WAA009582","Iseilema sp., Brachyachne sp. & Aristida sp. tussock grassland with a couple of scattered shrubs of Senna hamersleyensis in the north east corner.",FALSE
"246","SATKAN0004-56928","SATKAN0004",56928,NA,"SAT  003384",NA,NA,"SAT  003471","SAT  003452","SAT  003360","SAT  003418","SAT  003404","SAT  003436","Eucalyptus fasciculosa low woodland with a mixed mid stratum of Eutaxia microphylla, Acacia paradoxa, some juvenile Eucalyptus fasciculosa and Bursaria spinosa subsp. lasiophylla. Very Diverse understratum.",FALSE
"247","SATKAN0004-58696","SATKAN0004",58696,"NC","SAT008623","SAT008640","SAT008710","SAT008809","SAT008509","SAT008607","SAT008639","SAT008826","SAT008597","Eucalyptus woodland dominated by E. fasciculosa with some E. leptophylla and E. leucoxylon spp. leucoxylon. Mid-stratum of Acacia paradoxa, Bursaria spinosa spp. lasiophylla and Acacia pycnantha. Ground-stratum of Lepidosperma carphoides, Lepidosperma congestum, Lomandra multiflora spp. dura with scattered forbs and grasses.",FALSE
"248","SAAEYB0001-57637","SAAEYB0001",57637,"NC","None","None","None","SAA005654","None","None","SAA005612","SAA005680","SAA005638","Lycium ferocissimum shrubland (1-2m) with mid-layer (0.5-1m) of Rhagodia crassifolia, Tetragonia implexicoma and Enchylaena tomentosa var. tomentosa. Weedy ground layer (to 0.3m) of Carrichtera annua and Mesembryanthemum crystallinum.",FALSE
"249","QDAGUP0010-53479","QDAGUP0010",53479,"","QDA  004147","","","QDA  004145","QDA  004169","QDA  004147","QDA  004209","","","Melaleuca citrolens tall open shrubland with Lysiphyllum cunninghamii and Carissa lanceolata. Ground stratum mostly bare with some Aristida pruinosa and other tussock grasses.",FALSE
"250","WAACOO0029-53458","WAACOO0029",53458,"","WAA  002430","WAA  002436","","WAA  002448","WAA  002518","WAA  002455","WAA  002500","WAA  002454","WAA  002473","Eucalyptus rigidula, Eucalyptus ceratocorys, Eucalyptus platycorys low sparse mallee shrubland (<3m) ,with isolated Eucalyptus leptopoda subsp. subluta. Dense mid stratum dominated by Acacia yorkrakinensis subsp. acrita (post-fire, usually >2m). Dense hummock grass understratum dominated by Triodia rigidissima",FALSE
"251","WAACOO0028-53457","WAACOO0028",53457,"","","","","WAA  002335","WAA  002333","WAA  002329","WAA  002327","","","Acacia sibina / Acacia cylindrica / Allocasuarina spinosissima mid shrubland with isolated emergent Eucalyptus horistes, Eucalyptus leptopoda subsp. leptopoda, and Eucalyptus rigidula (<3). A hummock grass ground stratum dominated by Triodia rigidissima.",FALSE
"252","SAACHC0010-58970","SAACHC0010",58970,"Climate response is dry, vegetation response is dry. Sclerolaena sp. are alive but drying off rapidly. Chenopodium auricomum is flowering. Some lignum shrubs have leaves. Very little Eucalyptus coolabah recruitment.","SAA018711","None","None","SAA018498","SAA018490","SAA018520","SAA018717","SAA018715","None","Upper stratum of Eucalyptus coolabah (7m) woodlandMid stratum of Chenopodium auricomum (0.7m), Rhagodia spinescens (1m) and Duma chenopod shrubland. Ground stratum (G1) dominated by five-spined Sclerolaena (0.2m) and other chenopods, and a layer of annual forbs including Portulaca sp. (0.02m) chenopod shrubland.",FALSE
"253","NTAMGD0005-58495","NTAMGD0005",58495,"NC","NTA012819","None","None","NTA012831","NTA012825","NO_BARCODE_DEAD_TREE_536311","NTA012837","NTA012889","NTA012843","Corymbia setosa mid open Mallee woodland.  Mid story is a mid open shrubland dominated by Acacia gonoclada and Petalostylis cassioides. Ground story is a low open tussock grassland dominated by Chrysopogon fallax  and Aristida hygrometrica with Eriachne major and Schizachyrium fragile and a significant cover of Triodia bitextura ",FALSE
